,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date,Country
95,bonavista,48.65,-53.11,97.0,58.77,20,3.96,1534988881.0,CA
96,ormara,25.21,64.64,94.0,80.1,92,16.82,1534988882.0,PK
97,saint-philippe,-21.36,55.77,52.0,68.0,0,6.93,1534986000.0,RE
98,richards bay,-28.77,32.06,100.0,65.61,92,4.07,1534988883.0,ZA
99,saskylakh,71.97,114.09,92.0,56.16,92,8.88,1534988883.0,RU
100,faanui,-16.48,-151.75,100.0,78.39,48,18.28,1534988884.0,PF
101,matara,5.95,80.54,85.0,80.55,88,14.7,1534988884.0,LK
102,chokurdakh,70.62,147.9,76.0,52.47,0,6.08,1534988885.0,RU
103,jalu,29.03,21.55,48.0,78.75,0,3.51,1534988885.0,LY
105,lipin bor,60.26,37.97,100.0,55.17,80,14.36,1534988886.0,RU
106,felanitx,39.47,3.15,88.0,71.6,0,2.24,1534987800.0,ES
107,la orilla,18.0,-102.23,88.0,82.71,0,3.96,1534988887.0,MX
108,fortuna,40.6,-124.16,77.0,64.4,1,10.29,1534985700.0,US
110,college,64.86,-147.8,52.0,59.0,1,3.4,1534985880.0,US
112,sao filipe,14.9,-24.5,100.0,76.32,92,9.66,1534988889.0,CV
113,wanning,18.8,110.4,100.0,81.9,36,15.7,1534988890.0,CN
114,chingola,-12.55,27.86,61.0,50.76,0,5.75,1534988890.0,ZM
115,muros,42.77,-9.06,93.0,64.4,20,5.82,1534987800.0,ES
116,longyearbyen,78.22,15.64,86.0,41.0,75,4.7,1534985400.0,SJ
117,mazamari,-11.33,-74.53,89.0,64.17,56,1.72,1534988892.0,PE
119,ancud,-41.87,-73.83,95.0,44.37,80,11.56,1534988893.0,CL
120,forlimpopoli,44.19,12.12,77.0,68.0,24,2.24,1534987200.0,IT
121,henties bay,-22.12,14.28,100.0,47.97,0,4.41,1534988894.0,NA
122,anori,-3.74,-61.66,89.0,77.4,12,2.28,1534988895.0,BR
123,petropavl,54.87,69.13,97.0,58.05,80,4.63,1534988895.0,KZ
124,san andres,8.22,-76.58,100.0,75.69,80,6.2,1534988896.0,CO
125,moose factory,51.26,-80.61,67.0,59.0,1,4.7,1534986000.0,CA
126,kruisfontein,-34.0,24.73,100.0,52.02,0,11.01,1534988897.0,ZA
127,kijang,0.9,104.63,90.0,85.77,0,14.58,1534988897.0,ID
128,kinablangan,7.69,126.55,100.0,83.7,32,3.29,1534988898.0,PH
129,luderitz,-26.65,15.16,93.0,49.68,0,17.72,1534988898.0,NA
130,fort nelson,58.81,-122.69,93.0,51.8,90,5.82,1534987260.0,CA
131,ketchikan,55.34,-131.65,67.0,62.96,90,12.75,1534985760.0,US
132,leningradskiy,69.38,178.42,91.0,43.65,92,11.23,1534988900.0,RU
133,saint-augustin,45.63,-73.98,72.0,64.4,75,3.36,1534986000.0,CA
134,atuona,-9.8,-139.03,100.0,80.91,0,8.88,1534988900.0,PF
135,margate,-30.86,30.37,100.0,62.82,92,12.8,1534988901.0,ZA
136,pangnirtung,66.15,-65.72,88.0,41.85,88,12.8,1534988902.0,CA
137,praia da vitoria,38.73,-27.07,100.0,71.6,75,13.69,1534986000.0,PT
139,hithadhoo,-0.6,73.08,100.0,80.37,8,2.84,1534988903.0,MV
140,alofi,-19.06,-169.92,61.0,80.6,40,10.29,1534986000.0,NU
141,huejuquilla el alto,22.63,-103.9,99.0,55.53,80,2.17,1534988904.0,MX
142,shakhovskaya,56.03,35.51,85.0,42.48,0,4.63,1534988904.0,RU
143,mlonggo,-6.53,110.7,70.0,84.87,0,5.86,1534988905.0,ID
144,yellowknife,62.45,-114.38,45.0,48.2,75,6.93,1534986000.0,CA
145,ati,13.21,18.34,93.0,71.1,64,8.32,1534988906.0,TD
146,cikupa,-7.65,108.11,97.0,76.05,68,9.66,1534988906.0,ID
147,siocon,11.03,124.04,87.0,87.3,44,10.0,1534988907.0,PH
148,butaritari,3.07,172.79,100.0,81.63,56,9.1,1534988907.0,KI
149,moranbah,-22.0,148.04,25.0,79.29,0,6.98,1534988908.0,AU
150,ravar,31.27,56.81,31.0,61.65,0,2.39,1534988908.0,IR
151,nikolskoye,59.7,30.79,76.0,55.4,0,13.42,1534986000.0,RU
152,pacific grove,36.62,-121.92,72.0,69.8,20,10.29,1534985700.0,US
153,avarua,-21.21,-159.78,60.0,75.2,75,10.29,1534986000.0,CK
154,westport,53.8,-9.52,100.0,55.53,92,13.24,1534988910.0,IE
155,impfondo,1.64,18.07,100.0,69.3,68,2.17,1534988910.0,CG
156,chegutu,-18.13,30.15,51.0,60.84,12,9.1,1534988911.0,ZW
158,trincomalee,8.58,81.23,66.0,84.42,36,15.14,1534988912.0,LK
159,the valley,18.22,-63.06,78.0,82.4,40,10.29,1534986000.0,AI
161,guerrero negro,27.97,-114.04,76.0,74.52,44,9.66,1534988913.0,MX
162,cidreira,-30.17,-50.22,98.0,52.56,36,16.93,1534988914.0,BR
163,mnogovershinnyy,53.94,139.92,86.0,60.75,92,2.95,1534988914.0,RU
165,arraial do cabo,-22.97,-42.02,94.0,71.6,75,11.41,1534986000.0,BR
166,lebu,-37.62,-73.65,100.0,51.57,92,22.64,1534988915.0,CL
167,itoman,26.12,127.67,79.0,87.8,40,10.29,1534986000.0,JP
168,balkhash,46.84,74.98,89.0,69.3,12,6.98,1534988916.0,KZ
169,santa maria,16.6,-22.9,74.0,78.8,75,8.05,1534986000.0,CV
170,shagonar,51.54,92.92,99.0,57.51,88,2.84,1534988917.0,RU
171,makueni,-1.8,37.62,97.0,60.75,92,4.74,1534988918.0,KE
172,grand gaube,-20.01,57.66,77.0,64.4,40,6.93,1534986000.0,MU
173,sulangan,11.14,123.72,93.0,86.13,0,12.35,1534988919.0,PH
174,hami,42.84,93.51,34.0,81.72,88,4.74,1534988919.0,CN
175,mumford,5.26,-0.76,99.0,71.82,76,7.2,1534988920.0,GH
176,jinchang,38.52,102.19,71.0,67.05,24,3.96,1534988920.0,CN
177,san ramon,-13.27,-64.62,90.0,62.46,0,4.52,1534988921.0,BO
178,porbandar,21.64,69.61,92.0,79.47,88,17.6,1534988921.0,IN
179,mahibadhoo,3.78,72.97,100.0,82.53,12,11.68,1534988922.0,MV
180,dikson,73.51,80.55,96.0,45.27,8,9.66,1534988922.0,RU
181,van wert,40.86,-84.58,67.0,66.92,1,5.41,1534986900.0,US
182,praya,-8.71,116.27,65.0,82.4,75,12.75,1534987800.0,ID
183,provideniya,64.42,-173.23,76.0,53.6,40,13.42,1534986000.0,RU
184,ha tinh,18.33,105.9,100.0,78.84,92,10.0,1534988924.0,VN
185,port lincoln,-34.72,135.86,100.0,53.55,92,3.96,1534988925.0,AU
187,pimenta bueno,-11.68,-61.19,74.0,73.62,0,3.74,1534988926.0,BR
188,torbay,47.66,-52.73,93.0,64.4,20,6.93,1534986000.0,CA
189,puerto ayora,-0.74,-90.35,100.0,71.82,0,13.58,1534988927.0,EC
190,dabat,12.98,37.77,100.0,57.6,92,1.61,1534988928.0,ET
191,ternate,0.8,127.4,99.0,82.89,64,10.45,1534988983.0,ID
192,nelidovo,56.22,32.78,85.0,44.1,0,8.21,1534988930.0,RU
193,jaru,-10.43,-62.48,69.0,75.69,8,4.18,1534988930.0,BR
194,carnarvon,-24.87,113.63,80.0,63.63,0,18.84,1534988931.0,AU
195,cayenne,4.94,-52.33,100.0,75.2,0,8.55,1534986000.0,GF
196,aripuana,-9.17,-60.63,83.0,78.03,36,1.95,1534988932.0,BR
197,pucallpa,-8.38,-74.54,88.0,71.6,40,1.61,1534986000.0,PE
198,macclesfield,53.26,-2.13,82.0,57.2,90,3.36,1534987200.0,GB
199,jumla,29.28,82.18,95.0,42.75,56,2.62,1534988933.0,NP
200,lensk,60.71,114.91,90.0,58.05,64,3.29,1534988933.0,RU
201,tieli,46.98,128.05,86.0,73.8,32,3.96,1534988934.0,CN
202,nome,30.04,-94.42,58.0,89.06,1,2.62,1534986900.0,US
204,constitucion,23.99,-104.67,49.0,69.8,90,8.05,1534987020.0,MX
205,boguchany,58.38,97.46,88.0,63.0,68,7.76,1534988936.0,RU
206,virginia beach,36.85,-75.98,87.0,78.08,90,5.82,1534986900.0,US
208,manta,-0.95,-80.73,100.0,72.09,24,13.24,1534988839.0,EC
209,abonnema,4.71,6.79,100.0,73.4,75,3.62,1534986000.0,NG
210,superior,47.19,-114.89,4.0,77.0,1,4.7,1534985580.0,US
211,mahebourg,-20.41,57.7,77.0,64.4,40,6.93,1534986000.0,MU
212,vieste,41.88,16.18,100.0,76.77,0,3.18,1534988939.0,IT
213,punuare,14.75,-85.99,73.0,71.6,40,4.7,1534986000.0,HN
214,zhuhai,40.71,112.04,64.0,68.0,0,2.24,1534986000.0,CN
215,port elizabeth,-33.92,25.57,100.0,60.93,0,14.81,1534988703.0,ZA
216,ulladulla,-35.36,150.48,47.0,59.0,40,8.05,1534986000.0,AU
217,fuzhou,26.08,119.3,58.0,87.8,20,17.9,1534986000.0,CN
218,tasiilaq,65.61,-37.64,97.0,42.8,0,10.29,1534985400.0,GL
219,luwuk,-0.95,122.79,83.0,81.09,48,6.76,1534988942.0,ID
220,lewistown,40.39,-90.15,88.0,69.08,1,5.64,1534986900.0,US
221,cherskiy,68.75,161.3,69.0,49.95,0,2.84,1534988943.0,RU
222,klaksvik,62.23,-6.59,100.0,50.0,80,10.29,1534987200.0,FO
224,boda,4.32,17.47,93.0,67.23,48,2.62,1534988944.0,CF
225,san ramon de la nueva oran,-23.13,-64.33,71.0,47.97,0,3.96,1534988945.0,AR
228,altay,47.83,88.13,39.0,57.42,0,2.95,1534988946.0,CN
231,oum hadjer,13.3,19.7,97.0,68.94,24,3.85,1534988947.0,TD
232,ambilobe,-13.19,49.05,72.0,67.59,0,7.87,1534988948.0,MG
233,bull savanna,17.89,-77.59,92.0,72.99,8,4.41,1534988948.0,JM
234,los llanos de aridane,28.66,-17.92,83.0,71.6,8,5.82,1534987800.0,ES
235,lagoa,37.14,-8.45,57.0,77.0,0,3.36,1534987800.0,PT
236,lola,7.8,-8.53,100.0,67.05,92,4.18,1534988950.0,GN
237,coihaique,-45.58,-72.07,80.0,41.0,0,5.82,1534986000.0,CL
239,abha,18.22,42.5,68.0,69.8,0,4.7,1534986000.0,SA
240,lubango,-14.92,13.49,87.0,52.65,24,2.17,1534988952.0,AO
241,poddorye,57.47,31.12,85.0,47.79,24,9.44,1534988952.0,RU
242,xam nua,20.42,104.04,89.0,73.98,92,2.51,1534988953.0,LA
243,ryotsu,38.08,138.43,70.0,87.8,0,5.82,1534986000.0,JP
244,sampit,-2.54,112.95,80.0,85.86,12,9.1,1534988954.0,ID
245,srednekolymsk,67.46,153.71,61.0,57.51,0,3.18,1534988954.0,RU
246,hamilton,32.3,-64.78,74.0,82.4,75,6.93,1534985700.0,BM
247,dunedin,-45.87,170.5,100.0,43.2,92,4.18,1534988759.0,NZ
248,adrar,27.87,-0.29,21.0,93.2,0,10.29,1534986000.0,DZ
250,port keats,-14.25,129.55,48.0,84.69,0,3.51,1534988956.0,AU
251,broome,-17.97,122.23,27.0,75.2,0,17.22,1534987800.0,AU
252,along,28.17,94.8,90.0,74.25,68,1.72,1534988957.0,IN
253,mount pleasant,32.79,-79.86,94.0,82.4,1,5.82,1534986900.0,US
254,thompson,55.74,-97.86,56.0,69.8,90,20.8,1534986000.0,CA
255,east london,-33.02,27.91,100.0,60.12,0,12.01,1534988959.0,ZA
256,abnub,27.27,31.15,44.0,78.8,0,13.87,1534986000.0,EG
257,coahuayana,18.62,-100.35,80.0,69.57,12,1.95,1534988960.0,MX
258,quartz hill,34.65,-118.22,27.0,92.84,1,14.99,1534988100.0,US
259,khatanga,71.98,102.47,91.0,57.33,0,4.18,1534988961.0,RU
260,benguela,-12.58,13.4,100.0,65.07,68,2.39,1534988962.0,AO
261,sola,-13.88,167.55,100.0,77.22,48,5.75,1534988962.0,VU
262,shellbrook,53.22,-106.39,36.0,77.0,75,6.93,1534986000.0,CA
263,sur,22.57,59.53,93.0,84.06,48,3.96,1534988963.0,OM
264,edd,13.93,41.69,40.0,82.71,20,4.41,1534988964.0,ER
265,shache,38.42,77.24,55.0,73.08,88,17.16,1534988964.0,CN
266,port hardy,50.7,-127.42,82.0,62.6,75,9.17,1534986000.0,CA
267,wagar,16.15,36.2,77.0,77.49,12,9.66,1534988965.0,SD
269,kalmunai,7.42,81.82,66.0,84.06,80,3.85,1534988966.0,LK
270,biak,-0.91,122.88,83.0,81.09,48,6.76,1534988966.0,ID
271,oyama,36.31,139.8,62.0,89.6,75,6.93,1534986840.0,JP
272,paka,4.64,103.44,83.0,80.6,75,4.7,1534986000.0,MY
273,ushibuka,32.19,130.02,92.0,84.33,76,0.72,1534988968.0,JP
274,necochea,-38.55,-58.74,69.0,48.6,8,20.29,1534988968.0,AR
275,anadyr,64.73,177.51,82.0,55.4,90,4.47,1534986000.0,RU
276,strezhevoy,60.73,77.6,93.0,55.4,90,6.71,1534986000.0,RU
278,hirara,24.8,125.28,74.0,87.8,75,19.46,1534986000.0,JP
279,ulaangom,49.98,92.07,44.0,61.2,0,3.29,1534988971.0,MN
280,severo-kurilsk,50.68,156.12,93.0,54.27,92,2.73,1534988971.0,RU
281,martos,37.72,-3.97,59.0,66.2,0,4.18,1534987800.0,ES
282,obo,5.39,26.49,98.0,67.23,92,5.86,1534988972.0,CF
283,grindavik,63.84,-22.43,87.0,50.0,0,9.17,1534986000.0,IS
284,sergeyevka,53.88,67.42,87.0,63.99,0,7.43,1534988973.0,KZ
285,kailua,21.39,-157.74,87.0,87.98,90,13.87,1534985820.0,US
286,duluth,46.77,-92.13,51.0,73.4,1,5.82,1534988100.0,US
287,danane,7.26,-8.15,100.0,68.67,92,3.96,1534988974.0,CI
288,lorengau,-2.02,147.27,100.0,81.9,24,2.84,1534988975.0,PG
289,katherine,-14.47,132.26,39.0,82.4,0,5.82,1534987800.0,AU
290,calabozo,8.92,-67.43,93.0,75.33,56,6.2,1534988976.0,VE
291,keti bandar,24.14,67.45,98.0,80.55,92,22.97,1534988976.0,PK
292,dirba,30.07,75.98,95.0,80.55,76,5.75,1534988977.0,IN
293,borogontsy,62.67,131.17,67.0,70.83,48,3.74,1534988977.0,RU
294,sao felix do xingu,-6.64,-51.99,81.0,74.25,0,1.95,1534988978.0,BR
295,kulhudhuffushi,6.62,73.07,98.0,83.07,12,15.37,1534988978.0,MV
296,sovetskiy,56.76,48.47,75.0,51.3,0,13.13,1534988979.0,RU
297,seymchan,62.93,152.39,60.0,58.59,0,3.74,1534988979.0,RU
298,saint-francois,16.25,-61.27,78.0,80.6,20,5.82,1534986000.0,GP
299,misratah,32.38,15.09,98.0,76.05,0,4.74,1534988980.0,LY
300,tigil,57.8,158.67,66.0,59.94,48,10.67,1534988981.0,RU
301,aklavik,68.22,-135.01,39.0,48.2,75,10.29,1534986000.0,CA
302,plettenberg bay,-34.05,23.37,100.0,55.89,0,9.66,1534988982.0,ZA
303,adre,13.47,22.2,96.0,69.21,88,3.74,1534988982.0,TD
305,lavrentiya,65.58,-170.99,95.0,48.15,64,6.76,1534988983.0,RU
306,humberto de campos,-2.6,-43.46,92.0,79.47,0,12.8,1534988983.0,BR
307,kodiak,39.95,-94.76,81.0,69.98,1,3.4,1534985580.0,US
308,chupa,66.27,33.05,90.0,47.52,44,4.74,1534988984.0,RU
309,hokitika,-42.72,170.96,91.0,51.12,0,8.55,1534988985.0,NZ
311,half moon bay,37.46,-122.43,63.0,75.02,20,16.11,1534985760.0,US
312,roma,-26.57,148.79,54.0,65.16,0,8.77,1534988986.0,AU
313,mugur-aksy,50.38,90.44,84.0,44.1,88,1.28,1534988987.0,RU
314,sigli,5.38,95.96,97.0,79.74,88,4.63,1534988987.0,ID
315,castro,-42.48,-73.76,97.0,43.83,80,12.12,1534988987.0,CL
316,northam,-31.65,116.67,76.0,53.6,40,9.17,1534987800.0,AU
317,luena,-11.78,19.91,76.0,58.05,8,2.51,1534988988.0,AO
318,camacha,33.08,-16.33,83.0,71.6,20,2.24,1534987800.0,PT
320,kahului,20.89,-156.47,67.0,84.92,75,19.46,1534985760.0,US
321,martil,35.62,-5.28,88.0,73.4,40,9.17,1534987800.0,MA
322,kvareli,41.95,45.82,94.0,57.33,24,1.95,1534988991.0,GE
323,willowmore,-33.3,23.49,74.0,26.01,0,2.17,1534988991.0,ZA
326,ponta do sol,17.2,-25.09,100.0,75.78,88,10.67,1534988992.0,CV
327,mehamn,71.03,27.85,100.0,42.93,12,5.19,1534988993.0,NO
328,bela vista,-22.11,-56.53,97.0,57.87,68,3.29,1534988994.0,BR
330,isangel,-19.55,169.27,100.0,70.2,92,17.83,1534988995.0,VU
331,baherden,38.44,57.43,50.0,64.17,0,3.18,1534988995.0,TM
332,mapimi,25.82,-103.85,21.0,93.2,75,9.17,1534984800.0,MX
333,gold coast,-28.0,153.41,46.0,69.8,0,10.29,1534987800.0,AU
334,tura,64.27,100.22,68.0,53.64,32,3.18,1534988997.0,RU
335,bulawayo,-20.16,28.59,82.0,43.83,0,2.73,1534988997.0,ZW
336,tabas,33.6,56.92,33.0,65.25,0,2.51,1534988998.0,IR
338,ostersund,63.18,14.64,87.0,50.0,92,5.82,1534987200.0,SE
339,yar-sale,66.83,70.83,83.0,58.86,0,13.35,1534988999.0,RU
340,huarmey,-10.07,-78.15,91.0,55.89,8,3.62,1534988872.0,PE
342,kunjah,32.53,73.97,83.0,80.6,40,6.93,1534986000.0,PK
344,veraval,20.9,70.37,97.0,78.39,92,18.05,1534989001.0,IN
345,rio gallegos,-51.62,-69.22,85.0,46.4,75,10.29,1534986000.0,AR
346,keetmanshoop,-26.57,18.15,71.0,29.7,0,2.39,1534989002.0,NA
347,valleyview,55.07,-117.28,53.0,66.06,0,7.43,1534989003.0,CA
348,santander,43.46,-3.8,94.0,71.6,76,4.7,1534987800.0,ES
