,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date,Country
349,dolores,-36.31,-57.68,91.0,46.53,0,12.01,1534989004.0,AR
351,santa monica,34.02,-118.49,66.0,86.0,1,10.29,1534985880.0,US
352,maningrida,-12.05,134.23,67.0,81.9,0,9.22,1534989005.0,AU
353,acapulco,16.86,-99.88,74.0,86.0,40,8.05,1534985100.0,MX
354,solnechnyy,50.72,136.64,87.0,65.7,88,3.62,1534989006.0,RU
355,maua,0.23,37.94,95.0,60.48,100,3.4,1534989006.0,KE
356,mgandu,-5.96,34.11,83.0,57.33,8,7.99,1534989007.0,TZ
357,marawi,18.48,31.82,46.0,82.62,44,2.39,1534989007.0,SD
358,turka,52.95,108.22,58.0,72.27,20,2.95,1534989008.0,RU
359,bati,11.19,40.02,62.0,74.97,76,1.28,1534989008.0,ET
360,whitehorse,60.72,-135.06,42.0,62.6,75,14.99,1534986000.0,CA
362,brigantine,39.41,-74.36,76.0,75.92,1,5.82,1534986000.0,US
363,osorno,-40.57,-73.14,97.0,43.92,92,8.77,1534989010.0,CL
364,taybad,34.74,60.78,35.0,60.93,0,11.34,1534989011.0,IR
365,saint george,32.38,-64.68,74.0,82.4,75,6.93,1534985700.0,BM
366,chernyshevskiy,63.01,112.47,71.0,57.24,32,5.53,1534989012.0,RU
367,bambous virieux,-20.34,57.76,77.0,64.4,40,6.93,1534986000.0,MU
368,znamenka,52.41,41.44,74.0,48.96,0,7.2,1534989013.0,RU
369,boden,65.83,21.69,100.0,50.0,92,2.39,1534987200.0,SE
370,baltasi,56.34,50.21,83.0,51.3,44,11.23,1534989014.0,RU
371,bathsheba,13.22,-59.52,83.0,80.6,75,21.92,1534986000.0,BB
375,deputatskiy,69.3,139.9,68.0,50.76,56,7.2,1534989016.0,RU
376,beckley,37.78,-81.19,93.0,62.96,1,5.41,1534986900.0,US
377,mogadishu,2.04,45.34,100.0,76.59,56,19.28,1534989017.0,SO
378,coquimbo,-29.95,-71.34,87.0,48.2,20,4.7,1534986000.0,CL
379,lisala,2.15,21.52,99.0,67.14,92,4.18,1534989018.0,CD
380,tilichiki,60.47,166.1,75.0,60.39,20,4.18,1534989018.0,RU
381,xining,36.62,101.77,81.0,58.32,36,3.29,1534989073.0,CN
382,sawakin,19.1,37.33,79.0,81.72,12,5.53,1534989020.0,SD
383,narsaq,60.91,-46.05,70.0,42.8,20,3.36,1534985400.0,GL
384,crabtree,45.96,-73.47,68.0,64.4,75,12.75,1534986000.0,CA
385,limbang,4.75,115.0,94.0,77.0,75,5.82,1534987800.0,MY
386,iqaluit,63.75,-68.52,81.0,42.8,75,12.75,1534986000.0,CA
388,lakes entrance,-37.88,147.99,80.0,56.16,0,2.95,1534989023.0,AU
389,san vicente,14.11,122.87,91.0,87.12,8,18.5,1534989024.0,PH
390,salalah,17.01,54.1,100.0,73.4,90,3.36,1534985400.0,OM
391,port macquarie,-31.43,152.91,42.0,62.6,0,5.82,1534986000.0,AU
392,jacmel,18.24,-72.54,99.0,81.9,12,12.24,1534989025.0,HT
393,waddan,29.16,16.14,57.0,77.22,0,11.68,1534989026.0,LY
394,yuncheng,35.03,111.0,59.0,79.29,48,3.4,1534989026.0,CN
395,ayagoz,47.96,80.43,40.0,67.5,56,5.75,1534989026.0,KZ
396,mikkeli,61.69,27.27,87.0,59.0,75,8.05,1534987200.0,FI
